date,equity,position,daily_return,peak_equity,drawdown
2025-07-07,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-08,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-09,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-10,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-11,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-12,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-13,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-14,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-15,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-16,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-17,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-18,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-19,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-20,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-21,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-22,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-23,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-24,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-25,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-26,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-27,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-28,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-29,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-30,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-07-31,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-01,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-02,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-03,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-04,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-05,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-06,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-07,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-08,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-09,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-10,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-11,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-12,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-13,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-14,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-15,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-16,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-17,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-18,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-19,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-20,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-21,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-22,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-23,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-24,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-25,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-26,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-27,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-28,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-08-29,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
